"リコーのIMシリーズに搭載されている人感センサーの特長です。（　　　）に当てはまる語句として、正しいものを選択してください。

人の接近を検知し、先に（　①　）を起動させ、定着等は実際に利用するタイミングで通電することで、復帰スタート後の（　②　）と消費電力の低減を実現し、（　③　）の活用を促進できます。",①操作画面　②お待ち時間　③トナーセーブモード,①システム制御部　②お待ち時間　③省エネモード,①システム制御部　②画質の乱れ　③省エネモード,①操作画面　②画質の乱れ　③トナーセーブモード,①システム制御部　②お待ち時間　③省エネモード
QSU技術の説明として、誤っているものを選択してください。,ハロゲンヒーターを内蔵し直接定着ベルトを温めることで効率の良い加熱と省電力を実現,定着ベルトを超薄肉にして素早く温めることで、消費電力の削減を実現,常にトナーの定着に充分な高い温度を保持,低温定着トナーを採用し、少ない過熱トナーを溶かし消費電力の削減を実現,常にトナーの定着に充分な高い温度を保持
カラーPxP-EQ Advancedトナーの説明として、誤っているものを選択してください。,粒径が5.2μm,粉砕トナーで、トナー分布は均一ではない,高精細画質を表現できる,定着温度の引き下げを実現し、MFP の消費電力の削減におおきく貢献している,粉砕トナーで、トナー分布は均一ではない
IMシリーズの特長の中で、アクセシビリティを考慮したものとして、最も適切なものを選択してください。,スタンプ機能,ドキュメントフィーダーハンドル,マルチアクセス機能,プレビュー機能,ドキュメントフィーダーハンドル
MFPにおけるアクセシビリティ対応の説明として、誤っているものを選択してください。,利用者の使いやすい角度に調整できるチルト機構を採用した操作パネルを搭載しています,車いすを利用している方も、1段給紙トレイを座ったままで操作できます,軽く手をかけて引き出すことができ、また自動引き込み機構がある給紙トレイで、どなたでも給紙が楽に行えます,稼動中のジョブの途中で、他のジョブ（コピー、ドキュメントボックス、ファクス、プリンター、スキャナー）を自動的に割り込ませ、次のジョブを優先的に処理することができます,稼動中のジョブの途中で、他のジョブ（コピー、ドキュメントボックス、ファクス、プリンター、スキャナー）を自動的に割り込ませ、次のジョブを優先的に処理することができます
IMシリーズのユーザビリティで、簡単に紙詰まりを解消するための機能として、誤っているものを選択してください。,ユニットガイドの透明化,パージトレイ,LEDガイド点灯,インナー１ビントレイとお知らせランプ,インナー１ビントレイとお知らせランプ
ユーザビリティの向上としてMultiLink-Panelで実現している機能の組み合わせとして、最も適切なものを選択してください。,お客様のお好みに応じて選択可能な操作画面とリアルタイムアニメーションガイダンス,インナー１ビンのお知らせランプ・紙詰まり時のお知らせLED,使用頻度が高い設定に絞ったインターフェースの「かんたんシリーズ」画面・紙詰まり時のお知らせLED,インナー１ビンのお知らせランプ・パージトレイ,お客様のお好みに応じて選択可能な操作画面とリアルタイムアニメーションガイダンス
"（　　　）に当てはまる語句として、正しいものを選択してください。

ユーザビリティとは簡単にいうと（　　　）のことです。",コストパフォーマンス,環境への配慮,セキュリティ,使いやすさ,使いやすさ
"IM C7010/C6010/C5510/C4510/C3510/C3010/C2510/C2010シリーズのユーザビリティの説明です。（　　　）に当てはまる語句として、正しいものを選択してください。

簡単紙詰まり処理とは、万一紙詰まりした場合でも、（　　　）のみの開閉でほとんどの紙詰まりを処理できます。",片側二ヶ所,片側一ヶ所,前側一ヶ所,ノブの回転,片側一ヶ所
MultiLink-Panel対応のIMシリーズで対応した、よく利用される機能がトップ画面に表示され階層移動が無い操作を実現する機能として、最も適切なものを選択してください。,旧「やさしくシリーズ」,簡単画面,ユーザー別ホーム画面,選べる報知音,旧「やさしくシリーズ」
