"（　　　）に当てはまる語句として、正しいものを選択してください。

モバイルデバイス（携帯情報端末）には、タブレット、スマートフォンや、腕時計型・ゴーグル型・ブレスレット型などの（　　　）端末など、様々な形態がある。",ノート型,メインフレーム,ウェアラブル,ワークステーション,ウェアラブル
コンピューターの種類の説明として、不適切なものを選択してください。,ワークステーションは入出力専用機として使用されている,スーパーコンピューターは気象予測や宇宙開発など、大量で複雑な計算を行うのに適している,パーソナルコンピューターは個人用から業務用まで幅広く使用されている,汎用コンピューターは銀行オンラインや座席予約システムなどに使用されている,ワークステーションは入出力専用機として使用されている
コンピューターの種類の説明として、誤っているものを選択してください。,メインフレームは汎用コンピューターとも呼ばれ、基幹業務処理で使用される大型コンピューターである,モバイルデバイス（携帯情報端末）は、携帯可能なコンピューターで、タブレット、スマートフォンなど、様々な形態がある,ワークステーションは、ソフトウェア開発といった専門的な業務に使用される,スーパーコンピューターはビジネスのパーソナルな業務でのみ使用される,スーパーコンピューターはビジネスのパーソナルな業務でのみ使用される
CPUが設置されている基板は何と呼ばれますか。正しいものを選択してください。,BIOS,システムバス,キャッシュメモリ,マザーボード,マザーボード
コンピューターの種類の説明として、正しいものを選択してください。,メインフレームは、科学技術計算など大量で複雑な計算を高速で行うことができる高性能なコンピューターである,パーソナルコンピューターは、携帯可能なコンピューターで、タブレット、スマートフォンなど、様々な形態がある,ワークステーションは、専門的な業務用途で利用できる高性能なコンピューターである,スーパーコンピューターは、基幹業務処理で利用される大型コンピュータである,ワークステーションは、専門的な業務用途で利用できる高性能なコンピューターである
コンピューターの構成で5大基本装置のうち、CPUの主な機能として、正しいものを選択してください。,演算,出力,記憶,入力,演算
マルチコアプロセッサの説明として、不適切なものを選択してください。,ひとつのCPUにプロセッサが複数あること,サーバー用CPUの場合、ひとつのCPUのコア数は最高4コアまでである,同じクロック周波数の場合、コア数の多いほうが高速である,同時に複数の作業を分担することができ、高いパフォーマンスを持つことができる,サーバー用CPUの場合、ひとつのCPUのコア数は最高4コアまでである
CPUの実行スピードの単位として、正しいものを選択してください。,bit,Atom,Hz,Duo,Hz
お客様から「CPUの特徴を教えてほしい」と質問を受けました。お客様への回答として、誤っているものを選択してください。,Intel製CPUには以前「Ryzen」という名前が付いていましたが、現在は「EPYCシリーズ」が主力製品になりつつあります,2個～4個のコアを内蔵したマルチコアプロセッサで、高いパフォーマンスを持つことができるようになりました,クロック周波数だけでCPUの処理能力を判断することはできません,Intel製、AMD製に関わらず64ビットCPUがあります,Intel製CPUには以前「Ryzen」という名前が付いていましたが、現在は「EPYCシリーズ」が主力製品になりつつあります
CPUの製品名として、誤っているものを選択してください。,Xeon,Atom,Core i7,SATA,SATA
インテルのCPUとして、不適切なものを選択してください。,Xeon,Atom,Tegra,Core i3,Tegra
CPUの製品名とメーカーの組み合わせとして、正しいものを選択してください。,Xeon - Intel,POWER8 - Oracle,Opteron - 富士通,Core i7 - AMD,Xeon - Intel
同じビット数のCPUの性能を測る指標として、正しいものを選択してください。,インテル,クロック周波数,メモリ容量,外部バス,クロック周波数
CPUの主な役割のうち、処理中の命令などを一時的に記憶する装置として、最も適切なものを選択してください。,メモリ,レジスタ,キャッシュ,記憶装置,レジスタ
CPUの説明として、正しいものを選択してください。,一度に処理するデータ量のことを「ビット数」といい、64ビットOSより32ビットOSの方が処理能力が高い,実際に演算処理を行う部分を「コア」といい、クアッドコアよりデュアルコアの方がパフォーマンスが高い,１台のコンピューターに複数の物理CPUが搭載されているものをマルチスレッドという,CPUの実行スピードは「クロック周波数（Hz：ヘルツ）」で表され、クロック周波数の数値が高い方が処理速度が速い,CPUの実行スピードは「クロック周波数（Hz：ヘルツ）」で表され、クロック周波数の数値が高い方が処理速度が速い
CPUの装置構成として、正しいものを選択してください。,制御装置と演算装置,主記憶装置と制御装置,演算装置と主記憶装置,補助記憶装置と演算装置,制御装置と演算装置
"メモリは2種類に分類されますが、電源を切ると記憶内容が失われる特性を持つメモリとして、
最も適切なものを選択してください。",ROM,BD,RAM,USB,RAM
通常メインメモリとして使用されるものとして、最も適切なものを選択してください。,フラッシュメモリ,USBメモリ,ROM,RAM,RAM
キャッシュメモリの記述として、誤っているものを選択してください。,キャッシュメモリに使用頻度の高いデータを蓄積することで、メインメモリへのアクセスを減らすことができる,キャッシュメモリはメインメモリとCPU間の処理速度の差を調整し高速化を図る,キャッシュメモリとして使用されるDRAMは容量が多い反面、アクセス速度が遅い,CPUに近い1次キャッシュの方が2次キャッシュよりもアクセス速度が高速である,キャッシュメモリとして使用されるDRAMは容量が多い反面、アクセス速度が遅い
メインメモリの記憶容量より大きな（または複数の）プログラムを実行するために、ハードディスクなどの補助記録装置の一部をメモリの機能として利用することとして、正しいものを選択してください。,仮想メモリ,メインメモリ,メモリモジュール,メモリ容量,仮想メモリ
仮想メモリに関する記述として、正しいものを選択してください。,ハードディスクなどの補助記憶装置の一部をメモリ機能として利用することである,別名「キャッシュメモリ」と呼ばれている,代表的な規格として「DDR4-SDRAM」がある,メインメモリの容量が多いとスワップが頻繁に発生する,ハードディスクなどの補助記憶装置の一部をメモリ機能として利用することである
補助記憶装置の記述として、誤っているものを選択してください。,SDメモリカードはデジタルカメラや携帯電話の記憶装置として幅広く利用されている,USBメモリは、USBコネクタとフラッシュメモリを一体化したものである,ブルーレイディスクは1回のみ書き込みが可能なものと、繰り返し書き込みが可能なものがある,SSDは、HDと比較してデータ転送速度が遅く、衝撃耐久性も低い,SSDは、HDと比較してデータ転送速度が遅く、衝撃耐久性も低い
BDの記述として、正しいものを選択してください。,BD-Rは追記型で1回の書き込みができる,BDの記録は片面1層である,BD-REは追記型で1回の書き込みができる,BDは片面1層で約50GBの記録ができる,BD-Rは追記型で1回の書き込みができる
DVDの記述について、正しいものを選択してください。,DVD－ROMは1回のみ書き込みが可能である,DVD＋Rは、書き換えが可能である,DVD－RAMは繰り返し書き換えが可能である,DVD－RWは1回のみ書き込みが可能である,DVD－RAMは繰り返し書き換えが可能である
DVDの記述として、正しいものを選択してください。,DVD－RAMは1回のみ書き換えが可能である,DVD－RWは繰り返し書き換えが可能である,DVD＋Rは、繰り返し書き換えが可能である,DVD－ROMは追記のみ可能である,DVD－RWは繰り返し書き換えが可能である
フラッシュメモリの分類として、誤っているものを選択してください。,SDメモリカード,SSD,SDUCメモリカード,HDD,HDD
"（　　　）に当てはまる語句として、正しいものを選択してください。

フラッシュメモリは（　　　）を切っても記憶した内容を保持し、データの書き込みや消去を自由に行うことができます。",配線,回路,電源,周波数,電源
"以下の説明に当てはまる装置として、最も適切なものを選択してください。

対象物にレーザーを照射し、「高さ」「横幅」「奥行き」の三次元座標データを取得し、3Dデータとして取り込むことができる機器",ポインティングデバイス,イメージスキャナー,3Dスキャナ,生体認証装置,3Dスキャナ
コンピューターで使用される入力装置の説明として、正しいものを選択してください。,ポインティングデバイスとは、画面上の位置情報を入力する装置である,バーコード読取装置とは、マークシート上のマークを反射光によって読み取る装置である,生体認証装置とは、マイクを通し音声でPCを操作したりデータを入力する装置である,ICカードリーダーとは、手書き文字、絵、写真などを画像データとして取り込む装置である,ポインティングデバイスとは、画面上の位置情報を入力する装置である
コンピューターの入力装置として、誤っているものを選択してください。,ICカードリーダー,キーボード,音声入力装置,ディスプレイ,ディスプレイ
3Dスキャナの説明として、正しいものを選択してください。,対象物にレーザーを照射し、「高さ」「横幅」「奥行き」の三次元座標データを取得し、取り込むことができる装置,画面上の位置情報を入力する装置,手書き文字、絵、写真などを画像データとして取り込む装置,手の指の紋様や静脈のパターンなどを読み取る装置,対象物にレーザーを照射し、「高さ」「横幅」「奥行き」の三次元座標データを取得し、取り込むことができる装置
Bluetoothの周波数帯域として、最も適切なものを選択してください。,800MHz,1.5GHz,2.4GHz,5GHz,2.4GHz
PCと周辺機器の接続インタフェースのうち、信号の伝送に赤外線を用いるものとして、正しいものを選択してください。,IEEE1284,IEEE1394,USB2.0,IrDA,IrDA
シリアルインターフェースの規格として、主にキーボード、マウス、プリンタ等に使用される規格で、最も適切なものを選択してください。,シリアルATA,USB,IEEE1394,eSATA,USB
IEEE1394の説明として、最も適切なものを選択してください。,ノートPCなど無線通信を行う際に使用される規格である,従来のATA（パラレル）から高速化したものである,主にデジタルカメラやビデオカメラの接続で使用される規格である,プリンタで使用されていた規格でありセントロニクスとも呼ばれる,主にデジタルカメラやビデオカメラの接続で使用される規格である
SATA（シリアルATA）についての説明として、正しいものを選択してください。,ノートPCなど無線通信を行う際に使用される規格である,内蔵HDDなどで使われる規格である,デジカメやビデオカメラなどを接続する規格である,プリンタで使用されていた規格でありセントロニクスとも呼ばれる,内蔵HDDなどで使われる規格である
Thunderboltの説明として、正しいものを選択してください。,従来のATA（パラレル）から高速化したインターフェースである,Intel社とApple社が開発したインターフェースでPCとディスプレイなどを接続する規格である,FireWire、i.Linkとも呼ばれ、ホットプラグに対応している,mSATAの後継として開発されたインターフェースである,Intel社とApple社が開発したインターフェースでPCとディスプレイなどを接続する規格である
USB4で使用するコネクタとして、正しいものを選択してください。,Type-A,Type-B,Type-C,Micro USB 2.0 Type-B,Type-C
"最大転送速度が40Gbpsとなる規格として、正しいものを選択してください。



",USB 3.0,USB 3.1,USB 3.2,USB4,USB4
オペレーティングシステムに関する記述として、最も適切なものを選択してください。,ハードウェアとアプリケーションソフトを管理・制御するためのソフトウェア,電子メールを送受信するためのソフトウェア,Webページを閲覧するためのソフトウェア,文書の作成や編集を行うソフトウェア,ハードウェアとアプリケーションソフトを管理・制御するためのソフトウェア
